,開鎖之物件,輸入道具,輸出道具,解鎖新場景,是否觸發
A1,記事本,眼鏡,,,觸
A2,貓咪照,美工刀,孟亦安的宿舍抽屜鑰匙,,
A2,孟亦安的抽屜一,孟亦安的宿舍抽屜鑰匙,,1_2_3 '女主書桌的抽屜',
A2,我(夏語蝶)的筆電,CD,,,觸
B1,土堆,圓鍬,別人的時空膠囊,,
B1,命運之輪盒子,命運之輪,風景明信片,,觸
B2,泥濘的排球,自製清洗用具,乾淨的排球,,觸
B3,女主家裡房間抽屜,女主家裡房間抽屜鑰匙,,2_3_2 '女主家裡房間二',
C1,一審開庭資料,鉛筆,,,觸
C2,青鳥的淚水,花灑,裝著青鳥淚水的花灑,,
C2,花苞(右),裝著青鳥淚水花灑,鳥籠鑰匙,,
C2,青鳥,鳥籠鑰匙,,,觸
C3,客廳的盆栽,小鏟子,收納箱鑰匙,,
C3,上鎖的收納箱,收納箱鑰匙,,,觸
C4,充電器,沒電的電池,充飽電的電池,,
C4,單眼相機,充飽電的電池,可看相片的單眼相機,,
C4,C男抽屜,C男抽屜鑰匙,充電器＋沒電的電池,,
D1,化妝台,粉底盒,,,觸
D2,床底,長尺,木盒的鑰匙,,
D2,木製小盒子,木盒的鑰匙,小書包吊飾,,
D4,右上櫃,何品謙,D女抽屜鑰匙,,
,右抽屜,D女抽屜鑰匙,,4_4_2 'D女抽屜',
