物件一覽表,所在地點,取得章節,功能,文字說明,
A女床,1_1_1 '雙人宿舍夜',,X,我的床。我現在不想睡覺啦！,
女主床,1_1_1 '雙人宿舍夜',,X,第一二章：<孟亦安>的床。很私人欸...還是先不要碰好了。,
窗戶,1_1_1 '雙人宿舍夜',,X,宿舍的窗戶。<孟亦安>常常在窗戶邊看著樓下，不知道在想甚麼...。,
盆栽,1_1_1 '雙人宿舍夜',,X,是<孟亦安>的常春藤。你問我花語是甚麼？我怎麼會知道這種事情。,
書櫃的精緻相框(左下,1_1_1 '雙人宿舍夜',,X,我的相框。沒有甚麼特別的。,
書櫃裡的書（左上）,1_1_1 '雙人宿舍夜',,X,課本。沒有甚麼特別的。,
揉爛的成績單,1_1_2 '女主書桌',,X,看起來是期中考的成績單，但不知道為何被揉爛了...,
2B鉛筆,1_1_2 '女主書桌',,X,不是考試用的筆，而且感覺用很久了。,
孟亦安的抽屜一,1_1_2 '女主書桌',一、二,開鎖,打不開，應該是被鎖住了。,
孟亦安的抽屜二,1_1_2 '女主書桌',二、三、四,場景切換,第三四章：(點選進入1_2_3 '女主書桌的抽屜'),
鉛筆盒,1_1_2 '女主書桌',,X,裡面有很多原子筆。,
貓咪照,1_1_2 '女主書桌',,開鎖,<孟亦安>抱著貓。(用道具:美工刀割開後，取得道具:抽屜鑰匙),
全家福,1_1_2 '女主書桌',,X,是<孟亦安>小時候的照片...，<孟亦寒>也在上頭呢...。,
記事本(1),1_1_2 '女主書桌',一,X,使用[眼鏡]前:<孟亦安>用來整理代辦事項的記事本，但是我近視看不太清楚。,
CD,1_2_3 '女主書桌的抽屜',二,道具,一片CD，上頭甚麼也沒註記。說不定裡面有甚麼不能被看到的影片...？,
孟亦安的宿舍抽屜鑰匙,道具欄,二,道具,這把鑰匙肯定是<孟亦安>的抽屜鑰匙。,
眼鏡,1_1_3 'A女書桌',一,道具,我的眼鏡。因為輕微近視，讀書的時候都會戴上。,
課本,1_1_3 'A女書桌',,X,我都看不懂的的微積分乙課本。,
美工刀,1_1_3 'A女書桌',一、二,道具,我新買的，還很好用。,
我(夏語蝶)的筆電,1_1_3 'A女書桌',,開鎖,我的筆電。上大學的時候爸爸媽媽買給我的。,
社團資料上半部,道具欄,,道具,,
社團資料下半部,道具欄,,道具,,
社團資料完整版,道具欄,,道具、觸發,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,線索:物件的資訊是解謎關鍵
